OBJECTID,Join_Count,TARGET_FID,Id,osm_id,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,,,,X,Y
152,4,151,0,870591358,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""ref""=>""S15""",,,,113.895597 ,30.511545 
153,4,152,0,870591358,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""ref""=>""S15""",,,,113.895645 ,30.511591 
154,4,153,0,870591357,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""ref""=>""S15""",,,,113.895674 ,30.511496 
155,4,154,0,870591357,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""ref""=>""S15""",,,,113.895719 ,30.511540 
158,3,157,0,870591352,primary, , , , ,7,"""lanes""=>""3"",""oneway""=>""yes""",,,,113.895865 ,30.519960 
160,4,159,0,870591354,primary, , , , ,7,"""lanes""=>""3"",""oneway""=>""yes""",,,,113.895917 ,30.519869 
162,3,161,0,870591347,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.896420 ,30.518968 
165,3,164,0,870591356,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.896850 ,30.512684 
166,3,165,0,870591351,secondary, , , , ,6,"""lanes""=>""3"",""oneway""=>""yes""",,,,113.897610 ,30.521351 
167,3,166,0,870591355,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.898118 ,30.513973 
168,3,167,0,821932487,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.898337 ,30.516865 
169,3,168,0,821932488,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.898458 ,30.516661 
175,4,174,0,821932506,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""ref""=>""S15""",,,,113.899785 ,30.515523 
176,4,175,0,821932504,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""ref""=>""S15""",,,,113.899874 ,30.515418 
177,4,176,0,821932506,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""ref""=>""S15""",,,,113.899874 ,30.515601 
180,4,179,0,821932504,motorway, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes"",""ref""=>""S15""",,,,113.899965 ,30.515498 
181,4,180,0,821932526,motorway_link, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",,,,113.899965 ,30.515311 
183,4,182,0,821932526,motorway_link, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",,,,113.900058 ,30.515391 
187,3,186,0,821932507,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.900728 ,30.516191 
188,3,187,0,821932489,motorway_link, , , , ,9,oneway""=>""yes"",,,,113.901766 ,30.517330 
191,3,190,0,446634929,trunk, , , , ,8,"""foot""=>""yes"",""ref""=>""G318""",,,,113.910802 ,30.457093 
192,3,191,0,117947579,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.912793 ,30.526531 
193,3,192,0,821932507,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.912865 ,30.526464 
194,3,193,0,1084362552,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.913745 ,30.527758 
195,3,194,0,1084362552,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.914035 ,30.534153 
198,3,197,0,1084362552,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.914292 ,30.533012 
199,3,198,0,1084362555,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.914293 ,30.527289 
200,4,199,0,821932524,secondary, , , , ,6, ,,,,113.914298 ,30.532837 
201,4,200,0,821932524,secondary, , , , ,6, ,,,,113.914329 ,30.532844 
202,4,201,0,821932524,secondary, , , , ,6, ,,,,113.914822 ,30.532954 
203,4,202,0,821932524,secondary, , , , ,6, ,,,,113.914906 ,30.532974 
204,4,203,0,1084362558,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.914955 ,30.529821 
205,4,204,0,117947579,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.915786 ,30.528408 
206,4,205,0,821932507,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.915852 ,30.528358 
207,3,206,0,1084355648,construction, , , , ,0,"""construction""=>""motorway"",""lanes""=>""3"",""oneway""=>""yes"",""ref""=>""G4223""",,,,113.915930 ,30.531421 
208,4,207,0,1084362555,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.916061 ,30.528221 
209,4,208,0,1084362558,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.916450 ,30.530424 
210,4,209,0,1084362558,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.916526 ,30.530433 
211,3,210,0,1084031019,construction, , , , ,0,"""construction""=>""motorway"",""lanes""=>""3"",""oneway""=>""yes"",""ref""=>""G4223""",,,,113.916841 ,30.529752 
212,4,211,0,1084031019,construction, , , , ,0,"""construction""=>""motorway"",""lanes""=>""3"",""oneway""=>""yes"",""ref""=>""G4223""",,,,113.917041 ,30.529393 
213,4,212,0,1084362556,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.917094 ,30.529429 
214,4,213,0,117947579,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.917135 ,30.529223 
215,4,214,0,117947579,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.917192 ,30.529257 
216,4,215,0,821932507,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.917193 ,30.529119 
217,4,216,0,821932507,motorway, , , , ,9,"""oneway""=>""yes"",""ref""=>""S15""",,,,113.917251 ,30.529152 
218,4,217,0,1084362555,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.917255 ,30.529008 
219,4,218,0,1084362555,construction, , , , ,0,"""construction""=>""motorway_link"",""oneway""=>""yes""",,,,113.917314 ,30.529041 
