OBJECTID,Join_Count,TARGET_FID,Id,osm_id,name,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,X,Y
8645,3,8644,0,772925969,????,secondary, , , , ,6,"""lanes""=>""4"",""oneway""=>""yes""",114.279958399660472,30.588645900088295
8647,3,8646,0,142674628,???,trunk, , , , ,8,"""lanes""=>""3"",""oneway""=>""yes""",114.279997100186051,30.663054199991393
8649,3,8648,0,331065070, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.280074799812269,30.626141600354629
8650,4,8649,0,177840279,????,primary, , , , ,7,""oneway""=>""yes"",114.280096799927492,30.608628200131363
8651,4,8650,0,107270959,???,secondary, , , , ,6,"""lanes""=>""3"",""oneway""=>""yes""",114.280100399913636,30.636073900090480
8652,4,8651,0,456043498,???,secondary, , , , ,6,"""lanes""=>""3"",""oneway""=>""yes""",114.280112199918108,30.635954300150900
8653,3,8652,0,128479426, ,secondary, , , , ,6,""oneway""=>""yes"",114.280141400005618,30.574873700261094
8655,4,8654,0,178329448,????,primary, , , , ,7,""oneway""=>""yes"",114.280171799788832,30.608566799817993
8656,4,8655,0,177840279,????,primary, , , , ,7,""oneway""=>""yes"",114.280173000383684,30.608698900334048
8658,4,8657,0,107270959,???,secondary, , , , ,6,"""lanes""=>""3"",""oneway""=>""yes""",114.280238320841931,30.636134491013991
8659,4,8658,0,456043498,???,secondary, , , , ,6,"""lanes""=>""3"",""oneway""=>""yes""",114.280239375746646,30.636001269043390
8660,4,8659,0,178329448,????,primary, , , , ,7,""oneway""=>""yes"",114.280246699825398,30.608642699900713
8663,4,8662,0,456043498,???,secondary, , , , ,6,"""lanes""=>""3"",""oneway""=>""yes""",114.280341078278184,30.636038830127973
8664,4,8663,0,107270959,???,secondary, , , , ,6,"""lanes""=>""3"",""oneway""=>""yes""",114.280341219471779,30.636179696335944
8665,4,8664,0,826096563,????,primary, , , , ,7,"""name:en""=>""Fa Zhan Road"",""name:zh""=>""????"",""oneway""=>""yes""",114.280427241424150,30.626335185720279
8666,3,8665,0,815997490,???,motorway, , , , ,29,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""2"",""name:en""=>""4th Ring Road"",""name:zh""=>""???"",""name:zh-Hant""=>""???"",""oneway""=>""yes"",""ref""=>""S40""",114.280441799649452,30.750336199655919
8668,4,8667,0,107270959,???,secondary, , , , ,6,"""lanes""=>""3"",""oneway""=>""yes""",114.280451399912181,30.636228099647155
8669,4,8668,0,456043498,???,secondary, , , , ,6,"""lanes""=>""3"",""oneway""=>""yes""",114.280462299695387,30.636083600178040
8670,3,8669,0,790859642, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.280487499598507,30.492442599646324
8672,3,8671,0,769037330,????,secondary, , , , ,6,"""lanes""=>""2"",""name:en""=>""Huang Xiao He Rd"",""name:zh""=>""????"",""oneway""=>""yes""",114.280531200354631,30.613241300445736
8674,3,8673,0,674294586, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.280559500220875,30.635417000194479
8677,4,8676,0,29028027,????,secondary, , , , ,6,"""lanes""=>""2"",""name:en""=>""Huang Xiao He Rd"",""name:zh""=>""????"",""oneway""=>""yes""",114.280646100437252,30.613200300353640
8678,3,8677,0,625407323, ,secondary_link, , , , ,6,""oneway""=>""yes"",114.280657699893027,30.765642999924580
8679,5,8678,0,331158296,????,primary, , , , ,7,""oneway""=>""yes"",114.280669599722273,30.626126200363899
8680,4,8679,0,131361938,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.280692481173105,30.626224345177434
8681,3,8680,0,29027962,????,primary, , , , ,7,"""lanes""=>""3"",""oneway""=>""yes""",114.280710900187955,30.634604200123761
8682,4,8681,0,131361923,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.280717276381210,30.626330699901928
8683,3,8682,0,777388451,???,secondary, , , , ,6,"""lanes""=>""2"",""name:zh""=>""???"",""oneway""=>""yes""",114.280718899657586,30.765730299813526
8685,4,8684,0,331158294, ,trunk_link, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.280737291692731,30.626416548285135
8686,3,8685,0,826096563,????,primary, , , , ,7,"""name:en""=>""Fa Zhan Road"",""name:zh""=>""????"",""oneway""=>""yes""",114.280744200284630,30.626469199993664
8687,4,8686,0,456207630,????,primary, , , , ,7,"""lanes""=>""3"",""oneway""=>""yes""",114.280763429588660,30.633407421915024
8688,3,8687,0,131361938,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.280773400372141,30.626256600261968
8690,3,8689,0,29027962,????,primary, , , , ,7,"""lanes""=>""3"",""oneway""=>""yes""",114.280872100067427,30.634038100278133
8691,3,8690,0,29028027,????,secondary, , , , ,6,"""lanes""=>""2"",""name:en""=>""Huang Xiao He Rd"",""name:zh""=>""????"",""oneway""=>""yes""",114.280943099744263,30.610233599700905
8692,3,8691,0,177840279,????,primary, , , , ,7,""oneway""=>""yes"",114.280995299993151,30.609769699711933
8693,3,8692,0,158468670,????,trunk, , , , ,18,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""1"",""oneway""=>""yes""",114.281033600320484,30.639658700288862
8694,3,8693,0,1083980037,????,secondary, , , , ,6,"""lanes""=>""2"",""oneway""=>""yes""",114.281061499988255,30.475739799752034
8695,3,8694,0,231436852,????,secondary, , , , ,6,"""lanes""=>""2"",""oneway""=>""yes""",114.281064099928358,30.475803100332882
8696,4,8695,0,331159372,????,primary, , , , ,7,""oneway""=>""yes"",114.281073700191200,30.609874899706881
8697,3,8696,0,178329448,????,primary, , , , ,7,""oneway""=>""yes"",114.281124299646763,30.609736000316218
8698,3,8697,0,331065074,????,trunk, , , , ,18,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""1"",""oneway""=>""yes""",114.281132499665205,30.632504300233336
8699,3,8698,0,331065074,????,trunk, , , , ,18,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""1"",""oneway""=>""yes""",114.281140300384664,30.640204399913159
8700,3,8699,0,343157891, ,primary_link, , , , ,7,""junction""=>""roundabout"",114.281151700190890,30.634441000152094
8701,3,8700,0,343157894, ,primary_link, , , , ,7,""oneway""=>""yes"",114.281226100204435,30.634260499922163
8704,3,8703,0,231436856,?????,primary, , , , ,7,"""oneway""=>""yes"",""ref""=>""G107""",114.281268200167347,30.497566100295330
8705,4,8704,0,790859647, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.281300814980682,30.498080704960614
8707,3,8706,0,231436856,?????,primary, , , , ,7,"""oneway""=>""yes"",""ref""=>""G107""",114.281327999687505,30.497630400023013
8709,3,8708,0,765602506, ,secondary_link, , , , ,6,""oneway""=>""yes"",114.281434199728551,30.610358400419898
8710,3,8709,0,739465805,??????,trunk, , , , ,38,"""bicycle""=>""no"",""bridge""=>""viaduct"",""foot""=>""no"",""layer""=>""3"",""oneway""=>""yes""",114.281436500194445,30.492372000167734
8712,3,8711,0,293759384,???,secondary, , , , ,6,""oneway""=>""yes"",114.281578100249135,30.475374499633517
8713,3,8712,0,331065071, ,trunk_link, , , , ,28,"""bridge""=>""viaduct"",""layer""=>""2"",""oneway""=>""yes""",114.281580999663447,30.631057100404917
8714,3,8713,0,815997488,???,motorway, , , , ,29,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""2"",""name:en""=>""4th Ring Road"",""name:zh""=>""???"",""name:zh-Hant""=>""???"",""oneway""=>""yes"",""ref""=>""S40""",114.281584900023176,30.750114499684457
8715,5,8714,0,1083980037,????,secondary, , , , ,6,"""lanes""=>""2"",""oneway""=>""yes""",114.281586699566560,30.475770699558211
8717,3,8716,0,231436838, ,construction, , , , ,0,"""construction""=>""primary_link"",""oneway""=>""yes""",114.281596500378214,30.476183300419052
8718,3,8717,0,231436883,???,secondary, , , , ,6,"""horse""=>""no"",""lanes""=>""2"",""oneway""=>""yes"",""surface""=>""concrete""",114.281631900391972,30.492078099924413
8720,4,8719,0,331065071, ,trunk_link, , , , ,28,"""bridge""=>""viaduct"",""layer""=>""2"",""oneway""=>""yes""",114.281669133224000,30.630424514579715
8721,3,8720,0,131361911,????,trunk, , , , ,28,"""bridge""=>""viaduct"",""layer""=>""2"",""oneway""=>""yes""",114.281674899676887,30.631086299593107
8722,4,8721,0,341720948,????,secondary, , , , ,6,"""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""",114.281741099672104,30.480114800058004
8723,4,8722,0,341720947,????,secondary, , , , ,6,"""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""",114.281741300220915,30.480228899743963
8726,3,8725,0,293759383,???,secondary, , , , ,6,"""horse""=>""no"",""lanes""=>""3"",""oneway""=>""yes"",""surface""=>""concrete""",114.281791899676477,30.492044899652456
8728,3,8727,0,772925967,????,secondary, , , , ,6,"""lanes""=>""4"",""oneway""=>""yes""",114.281850700049858,30.591033899594834
8729,3,8728,0,897570592, ,trunk_link, , , , ,38,"""bridge""=>""yes"",""layer""=>""2"",""oneway""=>""yes""",114.281899800335623,30.629387800406732
8730,3,8729,0,231436882,???,secondary, , , , ,6,""oneway""=>""yes"",114.281908600201746,30.475352000394537
8731,5,8730,0,231436827, ,secondary, , , , ,6,""oneway""=>""no"",114.281909000400105,30.475781100217660
8732,4,8731,0,341720947,????,secondary, , , , ,6,"""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""",114.281910200095695,30.480229999614835
8733,3,8732,0,293759385,???,construction, , , , ,0,"""construction""=>""primary"",""oneway""=>""yes""",114.281911899814418,30.476192600308309
8735,3,8734,0,107057043,????,primary, , , , ,7,""oneway""=>""yes"",114.281915099602202,30.590876900448620
8736,4,8735,0,341720948,????,secondary, , , , ,6,"""lanes""=>""2"",""maxspeed""=>""50"",""oneway""=>""yes"",""surface""=>""asphalt""",114.281916800220188,30.480116700325539
8743,3,8742,0,131361911,????,trunk, , , , ,28,"""bridge""=>""viaduct"",""layer""=>""2"",""oneway""=>""yes""",114.282195299573459,30.629398499641070
8745,3,8744,0,456207630,????,primary, , , , ,7,"""lanes""=>""3"",""oneway""=>""yes""",114.282231300334274,30.642068199887547
8746,3,8745,0,331158300,???,trunk, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.282274099969754,30.626852500042901
8751,3,8750,0,231436851,????,secondary, , , , ,6,"""lanes""=>""2"",""oneway""=>""yes""",114.282423300195205,30.475824800074520
8752,3,8751,0,231436839, ,construction, , , , ,0,"""construction""=>""primary_link"",""oneway""=>""yes""",114.282430500167493,30.475749800213180
8753,3,8752,0,99345372, ,secondary, , , , ,6,""oneway""=>""yes"",114.282496899812145,30.514042899660126
8754,3,8753,0,795466881,???,trunk, , , , ,28,"""bicycle""=>""no"",""bridge""=>""viaduct"",""foot""=>""no"",""horse""=>""no"",""lanes""=>""3"",""layer""=>""2"",""maxspeed""=>""80"",""name:en""=>""3rd Ring Road"",""oneway""=>""yes""",114.282499399927474,30.465840499739329
8755,4,8754,0,897570586,????,primary, , , , ,7,"""lanes""=>""3"",""oneway""=>""yes""",114.282551629853856,30.628723695142469
8756,3,8755,0,1126848736,?????,primary, , , , ,7,""oneway""=>""yes"",114.282576499705783,30.513984500384424
8757,3,8756,0,99345372, ,secondary, , , , ,6,""oneway""=>""yes"",114.282585500120831,30.514125300042622
8758,4,8757,0,331158298,????,primary, , , , ,7,"""name:en""=>""Fa Zhan Road"",""name:zh""=>""????"",""oneway""=>""yes""",114.282628340225756,30.627269632587513
8759,3,8758,0,331158298,????,primary, , , , ,7,"""name:en""=>""Fa Zhan Road"",""name:zh""=>""????"",""oneway""=>""yes""",114.282628799779332,30.627269899686155
8760,4,8759,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.282628805175250,30.627269187423110
8761,4,8760,0,331158294, ,trunk_link, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.282631198271247,30.627152827740872
8762,3,8761,0,790859647, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.282636399949979,30.499373799661157
8763,4,8762,0,331159372,????,primary, , , , ,7,""oneway""=>""yes"",114.282641500005298,30.612162099601278
8764,3,8763,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.282647600106770,30.627347799861127
8765,4,8764,0,131361923,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.282653130037943,30.627079131896494
8767,4,8766,0,331158299,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""1"",""oneway""=>""yes""",114.282690686625983,30.627003902707997
8768,3,8767,0,1126848735,?????,primary, , , , ,7,""oneway""=>""yes"",114.282692700208031,30.513899300412447
8769,4,8768,0,331158297, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.282708792676658,30.626975010188630
8770,4,8769,0,178329448,????,primary, , , , ,7,""oneway""=>""yes"",114.282716800240223,30.612131400343912
8771,4,8770,0,331158294, ,trunk_link, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.282717314652359,30.627184352575853
8772,4,8771,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.282786789978445,30.627540466119683
8773,4,8772,0,131361923,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.282794149130723,30.627129189960215
8774,3,8773,0,107271962,????,primary, , , , ,7,""oneway""=>""yes"",114.282806100221364,30.644158700063997
8775,3,8774,0,881450268, ,trunk_link, , , , ,8,""oneway""=>""yes"",114.282822000235228,30.642290100407877
8777,4,8776,0,331158294, ,trunk_link, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.282846171313849,30.628002549478140
8779,4,8778,0,331158299,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""1"",""oneway""=>""yes""",114.282882080343825,30.627073461670989
8780,4,8779,0,331158302, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.282907818940771,30.626807631966699
8781,4,8780,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.282915268924626,30.627621298983797
8782,3,8781,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.282919100036452,30.626807499766358
8783,4,8782,0,331158297, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.282923399695164,30.627050782567608
8784,4,8783,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.282929468320390,30.626804215442235
8785,5,8784,0,231436855,?????,primary, , , , ,7,"""oneway""=>""yes"",""ref""=>""G107""",114.282934400202521,30.499858599894537
8787,4,8786,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.282944621896831,30.627634955189080
8788,4,8787,0,331158294, ,trunk_link, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.282973891232132,30.627273666046904
8789,4,8788,0,332206473,????,motorway, , , , ,29,"""bridge""=>""yes"",""int_ref""=>""AH1"",""lanes""=>""2"",""layer""=>""1"",""name:en""=>""Jingzhu Expressway"",""oneway""=>""yes"",""ref""=>""G4""",114.282978522740677,30.069814617250813
8790,3,8789,0,392037277,????,trunk, , , , ,28,"""bridge""=>""viaduct"",""layer""=>""2"",""oneway""=>""yes""",114.283002200091573,30.627485999579278
8791,4,8790,0,131361923,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""layer""=>""1"",""oneway""=>""yes""",114.283028078982738,30.627212228861310
8795,4,8794,0,136864237,?????,trunk, , , , ,18,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""1"",""oneway""=>""yes""",114.283052079190156,30.499832475488404
8797,3,8796,0,231436856,?????,primary, , , , ,7,"""oneway""=>""yes"",""ref""=>""G107""",114.283064700275759,30.499565300398331
8798,4,8797,0,136864237,?????,trunk, , , , ,18,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""1"",""oneway""=>""yes""",114.283069508051426,30.499851707490336
8799,3,8798,0,331159366, ,primary, , , , ,7,""oneway""=>""yes"",114.283080399740697,30.627669300298010
8800,4,8799,0,331158299,???,trunk, , , , ,18,"""bridge""=>""viaduct"",""lanes""=>""3"",""layer""=>""1"",""oneway""=>""yes""",114.283085322629631,30.627147327487251
8801,4,8800,0,332206474,????,motorway, , , , ,29,"""bridge""=>""yes"",""int_ref""=>""AH1"",""lanes""=>""4"",""layer""=>""1"",""name:en""=>""Jingzhu Expressway"",""oneway""=>""yes"",""ref""=>""G4""",114.283103068052242,30.069789969531541
8802,4,8801,0,331158302, ,trunk_link, , , , ,28,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",114.283107712151264,30.626763605655924
